COUNTYFP,STATE,MODE_USAGE,MASK_FREQ,RESPONSE
1071,Alabama,ALWAYS,FREQUENTLY,0.249
1071,Alabama,ALWAYS,ALWAYS,0.46
1073,Alabama,ALWAYS,NEVER,0.049
1073,Alabama,ALWAYS,RARELY,0.037
1073,Alabama,ALWAYS,SOMETIMES,0.107
1073,Alabama,ALWAYS,FREQUENTLY,0.179
1073,Alabama,ALWAYS,ALWAYS,0.628
1075,Alabama,ALWAYS,NEVER,0.107
1075,Alabama,ALWAYS,RARELY,0.045
1075,Alabama,ALWAYS,SOMETIMES,0.132
1075,Alabama,ALWAYS,FREQUENTLY,0.189
1075,Alabama,ALWAYS,ALWAYS,0.527
1077,Alabama,ALWAYS,NEVER,0.093
1077,Alabama,ALWAYS,RARELY,0.119
1077,Alabama,ALWAYS,SOMETIMES,0.141
1077,Alabama,ALWAYS,FREQUENTLY,0.179
1077,Alabama,ALWAYS,ALWAYS,0.469
1079,Alabama,ALWAYS,NEVER,0.162
1079,Alabama,ALWAYS,RARELY,0.08
1079,Alabama,ALWAYS,SOMETIMES,0.088
1079,Alabama,ALWAYS,FREQUENTLY,0.251
1079,Alabama,ALWAYS,ALWAYS,0.419
1081,Alabama,ALWAYS,NEVER,0.053
1081,Alabama,ALWAYS,RARELY,0.064
1081,Alabama,ALWAYS,SOMETIMES,0.138
1081,Alabama,ALWAYS,FREQUENTLY,0.183
1081,Alabama,ALWAYS,ALWAYS,0.562
1083,Alabama,ALWAYS,NEVER,0.102
1083,Alabama,ALWAYS,RARELY,0.034
1083,Alabama,ALWAYS,SOMETIMES,0.133
1083,Alabama,ALWAYS,FREQUENTLY,0.336
1083,Alabama,ALWAYS,ALWAYS,0.395
1085,Alabama,ALWAYS,NEVER,0.12
1085,Alabama,ALWAYS,RARELY,0.073
1085,Alabama,ALWAYS,SOMETIMES,0.145
1085,Alabama,ALWAYS,FREQUENTLY,0.199
1085,Alabama,ALWAYS,ALWAYS,0.464
1087,Alabama,ALWAYS,NEVER,0.008
1087,Alabama,ALWAYS,RARELY,0.033
1087,Alabama,ALWAYS,SOMETIMES,0.241
1087,Alabama,ALWAYS,FREQUENTLY,0.172
1087,Alabama,ALWAYS,ALWAYS,0.545
1089,Alabama,ALWAYS,NEVER,0.062
1089,Alabama,ALWAYS,RARELY,0.05
1089,Alabama,ALWAYS,SOMETIMES,0.123
1089,Alabama,ALWAYS,FREQUENTLY,0.177
1089,Alabama,ALWAYS,ALWAYS,0.589
1091,Alabama,ALWAYS,NEVER,0.033
1091,Alabama,ALWAYS,RARELY,0.151
1091,Alabama,ALWAYS,SOMETIMES,0.118
1091,Alabama,ALWAYS,FREQUENTLY,0.186
1091,Alabama,ALWAYS,ALWAYS,0.512
1093,Alabama,ALWAYS,NEVER,0.129
1093,Alabama,ALWAYS,RARELY,0.064
1093,Alabama,ALWAYS,SOMETIMES,0.246
1093,Alabama,ALWAYS,FREQUENTLY,0.207
1093,Alabama,ALWAYS,ALWAYS,0.353
1095,Alabama,ALWAYS,NEVER,0.075
1095,Alabama,ALWAYS,RARELY,0.064
1095,Alabama,ALWAYS,SOMETIMES,0.129
1095,Alabama,ALWAYS,FREQUENTLY,0.253
1095,Alabama,ALWAYS,ALWAYS,0.479
1097,Alabama,ALWAYS,NEVER,0.077
1097,Alabama,ALWAYS,RARELY,0.07
1097,Alabama,ALWAYS,SOMETIMES,0.102
1097,Alabama,ALWAYS,FREQUENTLY,0.244
1097,Alabama,ALWAYS,ALWAYS,0.506
1099,Alabama,ALWAYS,NEVER,0.112
1099,Alabama,ALWAYS,RARELY,0.041
1099,Alabama,ALWAYS,SOMETIMES,0.182
1099,Alabama,ALWAYS,FREQUENTLY,0.288
1099,Alabama,ALWAYS,ALWAYS,0.378
1101,Alabama,ALWAYS,NEVER,0.056
1101,Alabama,ALWAYS,RARELY,0.095
1101,Alabama,ALWAYS,SOMETIMES,0.123
1101,Alabama,ALWAYS,FREQUENTLY,0.212
1101,Alabama,ALWAYS,ALWAYS,0.513
1103,Alabama,ALWAYS,NEVER,0.078
1103,Alabama,ALWAYS,RARELY,0.077
1103,Alabama,ALWAYS,SOMETIMES,0.082
1103,Alabama,ALWAYS,FREQUENTLY,0.304
1103,Alabama,ALWAYS,ALWAYS,0.459
1105,Alabama,ALWAYS,NEVER,0.025
1105,Alabama,ALWAYS,RARELY,0.084
1105,Alabama,ALWAYS,SOMETIMES,0.087
1105,Alabama,ALWAYS,FREQUENTLY,0.187
1105,Alabama,ALWAYS,ALWAYS,0.618
1107,Alabama,ALWAYS,NEVER,0.031
1107,Alabama,ALWAYS,RARELY,0.06
1107,Alabama,ALWAYS,SOMETIMES,0.169
1107,Alabama,ALWAYS,FREQUENTLY,0.157
1107,Alabama,ALWAYS,ALWAYS,0.584
1109,Alabama,FREQUENTLY,NEVER,0.06
1109,Alabama,FREQUENTLY,RARELY,0.131
1109,Alabama,FREQUENTLY,SOMETIMES,0.145
1109,Alabama,FREQUENTLY,FREQUENTLY,0.333
1109,Alabama,FREQUENTLY,ALWAYS,0.33
1111,Alabama,ALWAYS,NEVER,0.158
1111,Alabama,ALWAYS,RARELY,0.226
1111,Alabama,ALWAYS,SOMETIMES,0.105
1111,Alabama,ALWAYS,FREQUENTLY,0.144
1111,Alabama,ALWAYS,ALWAYS,0.368
1113,Alabama,ALWAYS,NEVER,0.069
1113,Alabama,ALWAYS,RARELY,0.067
1113,Alabama,ALWAYS,SOMETIMES,0.08
1113,Alabama,ALWAYS,FREQUENTLY,0.213
1113,Alabama,ALWAYS,ALWAYS,0.57
1115,Alabama,ALWAYS,NEVER,0.027
1115,Alabama,ALWAYS,RARELY,0.134
1115,Alabama,ALWAYS,SOMETIMES,0.144
