COUNTYFP,STATE,MODE_USAGE,MASK_FREQ,RESPONSE
29067,Missouri,ALWAYS,SOMETIMES,0.07
29067,Missouri,ALWAYS,FREQUENTLY,0.167
29067,Missouri,ALWAYS,ALWAYS,0.328
29069,Missouri,ALWAYS,NEVER,0.068
29069,Missouri,ALWAYS,RARELY,0.085
29069,Missouri,ALWAYS,SOMETIMES,0.154
29069,Missouri,ALWAYS,FREQUENTLY,0.215
29069,Missouri,ALWAYS,ALWAYS,0.478
29071,Missouri,ALWAYS,NEVER,0.122
29071,Missouri,ALWAYS,RARELY,0.086
29071,Missouri,ALWAYS,SOMETIMES,0.1
29071,Missouri,ALWAYS,FREQUENTLY,0.233
29071,Missouri,ALWAYS,ALWAYS,0.458
29073,Missouri,ALWAYS,NEVER,0.086
29073,Missouri,ALWAYS,RARELY,0.207
29073,Missouri,ALWAYS,SOMETIMES,0.168
29073,Missouri,ALWAYS,FREQUENTLY,0.135
29073,Missouri,ALWAYS,ALWAYS,0.404
29075,Missouri,FREQUENTLY,NEVER,0.101
29075,Missouri,FREQUENTLY,RARELY,0.166
29075,Missouri,FREQUENTLY,SOMETIMES,0.182
29075,Missouri,FREQUENTLY,FREQUENTLY,0.299
29075,Missouri,FREQUENTLY,ALWAYS,0.251
29077,Missouri,ALWAYS,NEVER,0.099
29077,Missouri,ALWAYS,RARELY,0.082
29077,Missouri,ALWAYS,SOMETIMES,0.128
29077,Missouri,ALWAYS,FREQUENTLY,0.272
29077,Missouri,ALWAYS,ALWAYS,0.418
29079,Missouri,FREQUENTLY,NEVER,0.195
29079,Missouri,FREQUENTLY,RARELY,0.193
29079,Missouri,FREQUENTLY,SOMETIMES,0.129
29079,Missouri,FREQUENTLY,FREQUENTLY,0.247
29079,Missouri,FREQUENTLY,ALWAYS,0.236
29081,Missouri,FREQUENTLY,NEVER,0.173
29081,Missouri,FREQUENTLY,RARELY,0.128
29081,Missouri,FREQUENTLY,SOMETIMES,0.215
29081,Missouri,FREQUENTLY,FREQUENTLY,0.248
29081,Missouri,FREQUENTLY,ALWAYS,0.236
29083,Missouri,FREQUENTLY,NEVER,0.128
29083,Missouri,FREQUENTLY,RARELY,0.147
29083,Missouri,FREQUENTLY,SOMETIMES,0.117
29083,Missouri,FREQUENTLY,FREQUENTLY,0.345
29083,Missouri,FREQUENTLY,ALWAYS,0.262
29085,Missouri,ALWAYS,NEVER,0.182
29085,Missouri,ALWAYS,RARELY,0.18
29085,Missouri,ALWAYS,SOMETIMES,0.159
