COUNTYFP,STATE,MODE_USAGE,MASK_FREQ,RESPONSE
44007,Rhode Island,ALWAYS,NEVER,0.022
44007,Rhode Island,ALWAYS,RARELY,0.014
44007,Rhode Island,ALWAYS,SOMETIMES,0.05
44007,Rhode Island,ALWAYS,FREQUENTLY,0.159
44007,Rhode Island,ALWAYS,ALWAYS,0.754
44009,Rhode Island,ALWAYS,NEVER,0.012
44009,Rhode Island,ALWAYS,RARELY,0.022
44009,Rhode Island,ALWAYS,SOMETIMES,0.034
44009,Rhode Island,ALWAYS,FREQUENTLY,0.126
44009,Rhode Island,ALWAYS,ALWAYS,0.807
