date,state,fips,cases,deaths
2/03/2020,Utah,49,1,0
2/03/2020,Washington,53,23,6
2/03/2020,Wisconsin,55,1,0
3/03/2020,Arizona,4,2,0
3/03/2020,California,6,45,0
3/03/2020,Florida,12,3,0
3/03/2020,Georgia,13,2,0
3/03/2020,Illinois,17,4,0
3/03/2020,Massachusetts,25,2,0
3/03/2020,Nebraska,31,13,0
3/03/2020,New Hampshire,33,2,0
3/03/2020,New York,36,2,0
3/03/2020,North Carolina,37,1,0
3/03/2020,Oregon,41,2,0
3/03/2020,Rhode Island,44,2,0
3/03/2020,Texas,48,11,0
3/03/2020,Utah,49,1,0
3/03/2020,Washington,53,32,10
3/03/2020,Wisconsin,55,1,0
4/03/2020,Arizona,4,2,0
4/03/2020,California,6,55,1
4/03/2020,Florida,12,3,0
4/03/2020,Georgia,13,2,0
4/03/2020,Illinois,17,4,0
4/03/2020,Massachusetts,25,2,0
4/03/2020,Nebraska,31,13,0
4/03/2020,New Hampshire,33,2,0
4/03/2020,New Jersey,34,1,0
4/03/2020,New York,36,11,0
4/03/2020,North Carolina,37,1,0
4/03/2020,Oregon,41,2,0
4/03/2020,Rhode Island,44,2,0
4/03/2020,Texas,48,12,0
4/03/2020,Utah,49,1,0
4/03/2020,Washington,53,47,11
4/03/2020,Wisconsin,55,1,0
5/03/2020,Arizona,4,2,0
5/03/2020,California,6,67,1
5/03/2020,Colorado,8,2,0
5/03/2020,Florida,12,4,0
5/03/2020,Georgia,13,2,0
5/03/2020,Illinois,17,5,0
5/03/2020,Maryland,24,3,0
5/03/2020,Massachusetts,25,3,0
5/03/2020,Nebraska,31,13,0
5/03/2020,Nevada,32,2,0
5/03/2020,New Hampshire,33,2,0
5/03/2020,New Jersey,34,2,0
5/03/2020,New York,36,22,0
5/03/2020,North Carolina,37,1,0
5/03/2020,Oregon,41,2,0
5/03/2020,Rhode Island,44,2,0
5/03/2020,Tennessee,47,1,0
5/03/2020,Texas,48,16,0
5/03/2020,Utah,49,1,0
5/03/2020,Washington,53,75,11
5/03/2020,Wisconsin,55,1,0
6/03/2020,Arizona,4,3,0
6/03/2020,California,6,81,1
6/03/2020,Colorado,8,8,0
6/03/2020,Florida,12,7,2
6/03/2020,Georgia,13,3,0
6/03/2020,Hawaii,15,1,0
6/03/2020,Illinois,17,6,0
6/03/2020,Indiana,18,1,0
6/03/2020,Kentucky,21,1,0
6/03/2020,Maryland,24,3,0
6/03/2020,Massachusetts,25,8,0
6/03/2020,Minnesota,27,1,0
6/03/2020,Nebraska,31,14,0
6/03/2020,Nevada,32,2,0
6/03/2020,New Hampshire,33,2,0
6/03/2020,New Jersey,34,4,0
6/03/2020,New York,36,44,0
6/03/2020,North Carolina,37,2,0
6/03/2020,Oklahoma,40,1,0
6/03/2020,Oregon,41,2,0
6/03/2020,Pennsylvania,42,2,0
6/03/2020,Rhode Island,44,3,0
6/03/2020,South Carolina,45,2,0
6/03/2020,Tennessee,47,1,0
6/03/2020,Texas,48,19,0
6/03/2020,Utah,49,3,0
6/03/2020,Washington,53,86,12
6/03/2020,Wisconsin,55,1,0
7/03/2020,Arizona,4,5,0
7/03/2020,California,6,100,1
7/03/2020,Colorado,8,8,0
7/03/2020,District of Columbia,11,1,0
7/03/2020,Florida,12,12,2
7/03/2020,Georgia,13,7,0
7/03/2020,Hawaii,15,1,0
7/03/2020,Illinois,17,6,0
7/03/2020,Indiana,18,1,0
7/03/2020,Kansas,20,1,0
7/03/2020,Kentucky,21,1,0
7/03/2020,Maryland,24,3,0
7/03/2020,Massachusetts,25,13,0
7/03/2020,Minnesota,27,1,0
7/03/2020,Missouri,29,1,0
7/03/2020,Nebraska,31,14,0
7/03/2020,Nevada,32,2,0
7/03/2020,New Hampshire,33,4,0
7/03/2020,New Jersey,34,4,0
7/03/2020,New York,36,89,0
7/03/2020,North Carolina,37,2,0
7/03/2020,Oklahoma,40,1,0
7/03/2020,Oregon,41,6,0
7/03/2020,Pennsylvania,42,4,0
7/03/2020,Rhode Island,44,3,0
7/03/2020,South Carolina,45,2,0
7/03/2020,Tennessee,47,1,0
7/03/2020,Texas,48,19,0
7/03/2020,Utah,49,3,0
7/03/2020,Vermont,50,1,0
7/03/2020,Virginia,51,1,0
7/03/2020,Washington,53,110,16
7/03/2020,Wisconsin,55,1,0
8/03/2020,Arizona,4,5,0
8/03/2020,California,6,112,1
8/03/2020,Colorado,8,8,0
8/03/2020,Connecticut,9,1,0
8/03/2020,District of Columbia,11,1,0
8/03/2020,Florida,12,13,2
8/03/2020,Georgia,13,11,0
8/03/2020,Hawaii,15,2,0
8/03/2020,Illinois,17,7,0
8/03/2020,Indiana,18,2,0
8/03/2020,Iowa,19,3,0
8/03/2020,Kansas,20,1,0
8/03/2020,Kentucky,21,4,0
8/03/2020,Maryland,24,5,0
8/03/2020,Massachusetts,25,28,0
8/03/2020,Minnesota,27,2,0
8/03/2020,Missouri,29,1,0
8/03/2020,Nebraska,31,16,0
8/03/2020,Nevada,32,4,0
8/03/2020,New Hampshire,33,4,0
8/03/2020,New Jersey,34,6,0
8/03/2020,New York,36,106,0
8/03/2020,North Carolina,37,2,0
8/03/2020,Oklahoma,40,1,0
8/03/2020,Oregon,41,13,0
8/03/2020,Pennsylvania,42,6,0
8/03/2020,Rhode Island,44,3,0
8/03/2020,South Carolina,45,6,0
8/03/2020,Tennessee,47,3,0
8/03/2020,Texas,48,23,0
8/03/2020,Utah,49,3,0
8/03/2020,Vermont,50,1,0
8/03/2020,Virginia,51,2,0
8/03/2020,Washington,53,141,19
8/03/2020,Wisconsin,55,1,0
9/03/2020,Arizona,4,6,0
9/03/2020,California,6,172,2
9/03/2020,Colorado,8,12,0
9/03/2020,Connecticut,9,2,0
9/03/2020,District of Columbia,11,4,0
9/03/2020,Florida,12,14,2
9/03/2020,Georgia,13,17,0
9/03/2020,Hawaii,15,2,0
9/03/2020,Illinois,17,11,0
9/03/2020,Indiana,18,4,0
9/03/2020,Iowa,19,8,0
9/03/2020,Kansas,20,1,0
9/03/2020,Kentucky,21,5,0
9/03/2020,Louisiana,22,1,0
9/03/2020,Maryland,24,6,0
9/03/2020,Massachusetts,25,41,0
9/03/2020,Minnesota,27,2,0
